138,55.040833N 27.788333E,0.5
139,53.864444N 30.238888E,0.3
140,53.143333N 29.189722E,0.3
141,53.745833N 31.675555E,0.4
142,53.379444N 32.061388E,0.2
143,53.875555N 25.314722E,0.2
144,53.743333N 27.348611E,0.4
145,54.204444N 28.501944E,0.2
146,54.306944N 26.861388E,0.15
147,52.991944N 27.599444E,0.3
148,52.220833N 24.307222E,0.1
149,52.221388N 24.328333E,0.2
150,52.129444N 26.126388E,0.2
151,53.708333N 23.836111E,0.3
152,53.118055N 24.406111E,0.4
153,53.098888N 25.341111E,0.3
154,54.503055N 26.222500E,0.3
155,52.212500N 29.386388E,0.5
156,51.908055N 29.999166E,0.3
157,52.304444N 30.235000E,3
158,53.010833N 24.043333E,1
159,52.288333N 30.261111E,0.8
160,52.413611N 29.857777E,0.5
161,52.514444N 29.541944E,0.5
162,52.617500N 29.151388E,0.4
163,52.356944N 30.311666E,0.7
164,54.761111N 26.095833E,6
165,52.451944N 25.195555E,1.5
166,53.142500N 26.011111E,0.6
167,"52.118028N 26.095031E
52.111938N 26.068933E
52.103710N 26.067802E
52.096923N 26.097293E
52.108625N 26.108689E
52.118028N 26.095031E",
168,52.567500N 24.477222E,0.6
169,55.169166N 30.135833E,0.6
170,54.694722N 30.492500E,0.5
171,55.432777N 28.946666E,0.5
172,54.679722N 29.135000E,1.5
173,55.250555N 30.160555E,0.6
174,52.448888N 30.816388E,1
175,53.901111N 25.290277E,0.3
176,"53.654067N 23.974694E
53.633924N 23.975843E
53.639211N 23.957992E
53.651264N 23.958018E
53.654067N 23.974738E",
177,53.608055N 25.773611E,1
178,53.877222N 27.652500E,0.6
179,53.872222N 27.399444E,1.5
180,53.882500N 27.578055E,0.44
181,53.611111N 27.947222E,0.65
182,54.093055N 28.350833E,0.41
183,54.227777N 28.504722E,0.31
184,53.886944N 30.296111E,0.35
185,53.960555N 30.347222E,0.2
186,53.166388N 29.224722E,0.3
187,54.166111N 29.779722E,0.1
188,53.357222N 28.679444E,0.1
189,53.426666N 29.858055E,0.6
190,52.206388N 23.960000E,1
191,53.182222N 25.982777E,1
192,52.253611N 27.401388E,1
193,"52.144284N 23.739962E
52.125254N 23.726652E
52.133771N 23.713003E
52.146697N 23.718223E
52.144338N 23.740136E",
194,53.162500N 25.993055E,1
195,52.742222N 25.349722E,1
196,52.189722N 26.082222E,1
197,54.563888N 30.175833E,0.2
198,55.046111N 30.300833E,0.32
199,55.422222N 28.503888E,0.3
200,52.376666N 31.332222E,1
201,52.457500N 30.897777E,1
202,52.913611N 30.379166E,1
203,52.016666N 29.166666E,0.6
204,52.406111N 30.946666E,0.4
205,53.825833N 23.864166E,1
206,53.629722N 23.867222E,1
207,"53.802664N 25.376892E
53.784454N 25.387941E
53.783934N 25.364718E
53.799003N 25.362630E
53.802716N 25.376805E",
208,53.228611N 24.454444E,1
209,53.552500N 26.387222E,1
210,53.116944N 28.350833E,0.35
211,54.400000N 27.907500E,0.27
212,53.995555N 27.529722E,0.18
213,"53.823327N 27.584306E
53.817313N 27.587916E
53.819442N 27.591183E
53.823423N 27.588791E
53.823327N 27.584306E",
214,54.302777N 26.750555E,0.25
215,53.018611N 27.375833E,0.15
216,52.728888N 27.644166E,0.15
217,54.145555N 28.377777E,0.2
218,53.686388N 27.699444E,0.17
219,53.611111N 27.947222E,0.15
220,53.172222N 29.062777E,0.35
221,53.856666N 30.509444E,0.25
222,54.019722N 30.330555E,0.15
223,53.691388N 31.601111E,0.13
224,53.321111N 28.669722E,0.11
225,53.396388N 28.528611E,0.11
226,"53.869218N 27.647004E
53.861620N 27.641291E
53.858149N 27.641296E
53.855555N 27.636316E
53.850277N 27.652500E
53.850555N 27.671944E
53.857840N 27.677286E
53.861578N 27.668546E
53.862854N 27.651820E
53.864595N 27.651154E
53.864374N 27.649159E
53.869218N 27.647004E",
227,53.888888N 27.633333E,0.5
228,"54.099034N 28.307552E
54.107107N 28.339434E
54.104626N 28.344287E
54.095858N 28.329108E
54.099034N 28.307552E",
229,"52.843069N 30.019871E
52.865027N 30.029266E
52.881200N 29.965238E
52.869438N 29.950797E
52.835922N 29.980549E
52.843069N 30.019821E",
230,51.919722N 29.314722E,0.7
231,52.719722N 25.341111E,0.7
232,52.853055N 25.363055E,0.7
233,"52.423356N 30.939401E
52.422505N 30.945404E
52.411175N 30.943577E
52.413941N 30.930789E
52.423356N 30.939401E",
234,52.057777N 29.239444E,0.7
235,52.625555N 29.715277E,0.7
236,52.363611N 30.429444E,0.7
237,"52.108832N 23.666495E
52.101675N 23.672672E
52.103553N 23.678409E
52.110709N 23.672233E
52.108832N 23.666495E",
238,52.464166N 30.973333E,0.7
239,52.458333N 30.073333E,0.7
240,"53.116746N 26.039721E
53.119515N 26.037581E
53.120575N 26.034150E
53.122346N 26.032457E
53.123533N 26.034585E
53.123883N 26.037222E
53.122338N 26.038938E
53.124083N 26.043592E
53.122474N 26.049043E
53.116746N 26.039721E",
241,55.172222N 30.196388E,0.7
242,55.507777N 28.778888E,0.7
243,54.531944N 30.448333E,0.7
244,55.164444N 27.671111E,0.7
245,55.248333N 30.318055E,0.7
246,53.146944N 24.480555E,0.9
247,53.868611N 27.575833E,0.4
248,53.883333N 27.493611E,0.4
249,"53.949105N 27.696360E
53.952637N 27.707446E
53.956850N 27.703588E
53.953316N 27.692502E
53.949105N 27.696360E",
250,53.681388N 23.848333E,0.4
251,53.894166N 30.320833E,0.4
252,53.145000N 29.162777E,0.4
253,53.835833N 30.394444E,0.7
254,54.180000N 30.284722E,0.7
255,54.040833N 27.778611E,0.7
256,53.113055N 25.965277E,0.3
257,52.084444N 23.689444E,0.15
258,55.205000N 30.213611E,0.2
259,55.238888N 30.270555E,0.3
260,55.212222N 30.223888E,0.3
261,52.613055N 31.151666E,0.5
262,52.437777N 31.007777E,0.2
263,53.678888N 23.832222E,0.1
264,53.595833N 25.464166E,0.7
265,53.811111N 25.764722E,0.5
266,54.253055N 28.715555E,0.3
267,54.111388N 28.369444E,0.3
268,53.241111N 27.713611E,0.3
269,53.688611N 27.155277E,0.2
270,"53.199911N 29.190814E
53.184759N 29.205299E
53.184785N 29.223437E
53.201060N 29.224437E
53.204899N 29.206473E
53.199911N 29.190814E",
271,54.257500N 30.987777E,1.5
272,54.291111N 30.980555E,0.1
273,53.180277N 30.285277E,0.5
274,54.395000N 31.162777E,0.3
275,53.854444N 30.410277E,0.4
